35.3804,34.5081,42.4999,38.6633,37.9113,21.3249,27.1388,12.5392,16.3841,17.6998,21.4651,20.0804,19.4452,18.2375,22.0580,25.5988,40.4414
31.3291,31.4206,42.7374,34.2397,34.4006,29.2910,28.4880,12.8800,17.5627,16.8964,25.3160,22.0897,21.5763,26.2402,28.4834,26.6481,35.0993
37.7217,37.7217,42.0137,41.0120,40.0942,24.6786,26.1757,11.8345,16.9231,15.9047,20.8283,19.7469,19.3269,17.4279,19.4765,23.6689,43.6727
35.2525,30.4060,42.6018,35.5390,35.8962,28.5219,24.4991,12.0309,17.0657,19.4620,22.5693,22.7041,16.9427,22.5641,16.2099,24.9724,40.4806
39.1568,39.4486,40.4710,39.9795,40.4603,28.4010,25.0769,11.1071,15.7666,15.8513,20.8781,19.8932,19.4164,18.3913,17.4418,23.5462,44.4189
37.8383,38.3450,40.7580,41.7137,40.8639,22.9212,25.4748,11.9102,15.8050,15.6676,22.1247,20.2702,20.6065,21.5311,23.7343,24.2457,41.7332
34.2135,34.3367,39.9312,35.9777,36.9628,24.0029,21.6454,11.0582,16.3935,15.5850,20.7742,20.1173,19.4484,21.4406,19.5894,28.1573,39.9144
34.5790,36.7986,40.8198,38.8934,38.7997,23.2445,26.6629,10.1990,15.7256,14.5007,18.3840,19.8877,22.3039,16.9463,19.9271,31.5794,39.8249
37.5532,37.3456,41.1335,39.6377,40.2379,24.2786,25.5949,11.0822,15.9450,16.0962,23.8190,21.6316,20.9842,18.7292,23.0781,22.5077,42.6072
36.0677,38.1307,39.3897,39.6077,39.5424,26.2724,26.8188,11.3650,15.8006,15.2526,22.7301,19.6120,20.4287,22.1194,23.0724,24.1061,41.8897
34.5330,33.8604,44.4577,36.7781,36.7618,28.1332,27.8708,12.8709,16.8371,17.9257,26.5703,23.3380,23.2706,23.4282,23.9062,22.4094,38.1581
35.4319,34.4155,43.2345,37.1592,39.1524,25.4067,22.4217,10.7264,16.1360,16.5751,24.7561,22.6007,20.8141,21.1575,21.1074,23.9952,40.6123
37.7101,37.1199,41.4936,38.9886,39.8628,26.7526,24.2645,10.6012,15.2817,15.8018,26.2687,22.7029,21.5433,24.9204,22.8162,21.1935,41.9457
42.2034,39.4338,45.1031,41.2199,41.7749,18.3549,35.3475,11.8227,15.1723,18.8356,24.1503,21.3358,21.8185,10.3784,28.1259,18.8462,44.8479
33.8619,32.5928,44.2378,33.5576,34.8884,23.6716,25.5432,12.5882,17.3039,17.4845,23.3213,22.2371,20.2764,18.8057,20.7915,26.4853,37.6202
34.3268,35.0573,43.4580,36.9571,37.3291,24.8206,28.8638,12.4415,16.7972,16.8049,27.1085,23.6254,23.1421,20.6646,22.1524,21.7691,38.6920
36.5453,37.4442,42.7762,40.2841,42.7868,22.9044,23.3484,11.3789,16.9881,16.3294,19.3134,18.6608,19.8014,21.0704,23.1598,26.2110,43.1313
32.5748,32.5308,42.3093,35.5516,35.3230,26.4385,25.3646,12.1715,16.5011,16.0346,27.6969,24.2668,23.9711,21.6936,20.1477,23.9284,36.0997
37.2393,37.1071,41.7839,40.0443,39.2406,26.7248,25.7534,11.6938,16.4255,16.2934,22.5786,20.6121,20.4710,21.0313,20.8962,22.9888,42.7407
34.6515,33.9586,37.6537,37.2380,38.2777,26.4449,19.0535,10.3108,14.9962,14.6754,23.9357,21.0758,20.9084,25.0099,17.3826,26.5235,39.1189
32.9139,33.0038,42.0848,35.8147,37.5593,26.5211,24.9713,11.9402,16.6258,15.8547,24.2422,21.7139,21.1323,23.1526,23.3992,26.7817,36.9129
34.2159,33.0623,44.2366,38.3087,39.3192,24.8853,27.0194,12.5514,17.3012,17.0885,21.5289,21.4107,19.5715,21.0335,23.1572,27.8470,38.0828
39.9123,39.6565,42.2775,42.1004,41.2334,25.1225,22.7893,10.6831,16.2358,16.0363,22.3068,20.3575,19.3864,22.3080,19.0208,21.0705,45.9221
37.3912,37.3634,44.8546,39.3552,39.9658,25.1151,20.8569,11.5518,17.1211,17.1038,20.9280,20.5391,20.2851,12.7561,10.9562,24.1806,43.3518
37.4097,38.7047,40.5452,39.4301,38.7851,24.0529,25.2720,12.2490,16.5595,15.3388,25.2998,22.4168,22.0426,20.0474,22.5307,20.4193,42.0382
